URL,Title,Price,Ratings,Score,Review Summary
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MTQzNzg0Mzc4NTg5MDY0OjE3MDk2NjM1MTI6c3BfYXRmOjMwMDEzNzI2NDg4MDUwMjo6MDo6&url=%2FGlorious-PC-Gaming-Race-GOM-White%2Fdp%2FB07VRQWBMR%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI%26dib_tag%3Dse%26keywords%3Drazer%2Bmouse%26qid%3D1709663512%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Glorious Model O- (Minus) Compact Wired Gaming Mouse - 58g Superlight Honeycomb Design, RGB, Pixart 3360 Sensor, Ambidextrous, Omron Switches - Matte White",$49.99,"17,969 ratings",4.5 out of 5 stars,N/A
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MTQzNzg0Mzc4NTg5MDY0OjE3MDk2NjM1MTI6c3BfYXRmOjMwMDAzOTAxMDI1NTQwMjo6MDo6&url=%2FLogitech-Lightspeed-Wireless-Gaming-Mouse%2Fdp%2FB092CRH1RX%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI%26dib_tag%3Dse%26keywords%3Drazer%2Bmouse%26qid%3D1709663512%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"Logitech G502 X Lightspeed Wireless Gaming Mouse - LIGHTFORCE hybrid optical-mechanical switches, HERO 25K gaming sensor, compatible with PC - macOS/Windows - Black",$129.26,"2,609 ratings",4.5 out of 5 stars,N/A
https://www.amazon.com/Razer-DeathAdder-Essential-Gaming-Mouse/dp/B094PS5RZQ/ref=sr_1_3?dib=eyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI&dib_tag=se&keywords=razer+mouse&qid=1709663512&sr=8-3,Razer DeathAdder Essential Gaming Mouse: 6400 DPI Optical Sensor - 5 Programmable Buttons - Mechanical Switches - Rubber Side Grips - Classic Black,$24.24,"10,436 ratings",4.4 out of 5 stars,N/A
https://www.amazon.com/Razer-Basilisk-Customizable-Ergonomic-Gaming/dp/B09C13PZX7/ref=sr_1_4?dib=eyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI&dib_tag=se&keywords=razer+mouse&qid=1709663512&sr=8-4,Razer Basilisk V3 Customizable Ergonomic Gaming Mouse: Fastest Gaming Mouse Switch - Chroma RGB Lighting - 26K DPI Optical Sensor -Classic Black,$49.50,"6,749 ratings",4.5 out of 5 stars,N/A
https://www.amazon.com/Naga-Trinity-Final-Gaming-Mouse/dp/B077KJKMYD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI&dib_tag=se&keywords=razer+mouse&qid=1709663512&sr=8-5,"Razer Naga Trinity Gaming Mouse: 16,000 DPI Optical Sensor - Chroma RGB Lighting - Interchangeable Side Plate w/ 2, 7, 12 Button Configurations - Mechanical Switches",$99.99,"10,542 ratings",4.4 out of 5 stars,N/A
https://www.amazon.com/Razer-Ultimate-Lightweight-Wireless-Charging/dp/B09TG6KG2T/ref=sr_1_6?dib=eyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI&dib_tag=se&keywords=razer+mouse&qid=1709663512&sr=8-6,Razer Viper Ultimate Lightweight Wireless Gaming Mouse & RGB Charging Dock: Hyperspeed Wireless Technology - 20K DPI Optical Sensor - 74g Lightweight - 70 Hr Battery - Mercury White,$99.99,"15,902 ratings",4.4 out of 5 stars,N/A
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo4MTQzNzg0Mzc4NTg5MDY0OjE3MDk2NjM1MTI6c3BfbXRmOjMwMDAxMDk4MTMyMzEwMjo6MDo6&url=%2FRedragon-M612-Predator-Programmable-Software%2Fdp%2FB08SJ5Z8JL%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI%26dib_tag%3Dse%26keywords%3Drazer%2Bmouse%26qid%3D1709663512%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Redragon M612 Predator RGB Gaming Mouse, 8000 DPI Wired Optical Gamer Mouse with 11 Programmable Buttons & 5 Backlit Modes, Software Supports DIY Keybinds Rapid Fire Button",$13.98,"3,402 ratings",4.6 out of 5 stars,N/A
https://www.amazon.com/Razer-Mamba-Elite-Programmable-Ergonomic/dp/B07F816PH9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI&dib_tag=se&keywords=razer+mouse&qid=1709663512&sr=8-8,"Razer Mamba Elite Wired Gaming Mouse: 16,000 DPI Optical Sensor - Chroma RGB Lighting - 9 Programmable Buttons - Mechanical Switches",$42.95,"20,493 ratings",4.5 out of 5 stars,N/A
https://www.amazon.com/Razer-DeathAdder-Hyperspeed-Award-Winning-Programmable/dp/B09GK3LTVC/ref=sr_1_9?dib=eyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI&dib_tag=se&keywords=razer+mouse&qid=1709663512&sr=8-9,Razer DeathAdder V2 X HyperSpeed: Award-Winning Ergonomic Design - Ultra-Fast Wireless - 235hr Battery Life - 7 Programmable Buttons - Gen 2 Mechanical Switches - 5G 14K DPI Optical Sensor,$49.97,"17,985 ratings",4.7 out of 5 stars,N/A
https://www.amazon.com/Razer-Cobra-Wired-Gaming-Mouse/dp/B0C51J2ZXN/ref=sr_1_10?dib=eyJ2IjoiMSJ9.lV6JfNHMxj7bs6kJTPeYHV3ZDptFtlNmF7-lnB2PGZPOVQcWv4RR5-caCj_66k-v0PIRmWXDHmKNcpghlaejCNTNl4DoSMSECEbVHBXnAh5_IuYhEO_JdE2oRStJoVyPrArhKRb6bpVaaDbZop4m3YRrX_8rLHFuV0MTu74HfYKfYlMAvIU-5cgRHO_Yv7uRAETtyTLyicbqQ81H1tx5YuySxmv42fgOElRqtd6prrI.zQuvG_a6oT2lf8HamU_SPUnRV7NeQWUJuBlh1XybmHI&dib_tag=se&keywords=razer+mouse&qid=1709663512&sr=8-10,"Razer Cobra Gaming Mouse: 58g, Gen-3 Optical Switches, Chroma RGB Lighting, 8500 DPI Sensor, PTFE Feet, Speedflex Cable - Black",$38.95,343 ratings,4.5 out of 5 stars,N/A
